-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      61.854ms         0.44%      61.854ms      71.590us           0 b           0 b           0 b           0 b           864
                                    aten::silu_backward         0.03%       4.731ms         0.06%       9.642ms      25.108us      60.991ms         0.43%      60.991ms     158.830us           0 b           0 b      12.00 Gb      12.00 Gb           384
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      60.991ms         0.43%      60.991ms     158.830us           0 b           0 b           0 b           0 b           384
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      55.693ms         0.39%      55.693ms      72.516us           0 b           0 b           0 b           0 b           768
                                         preprocess_qkw         0.00%       0.000us         0.00%       0.000us       0.000us      54.318ms         0.38%      54.318ms      47.151us           0 b           0 b           0 b           0 b          1152
       chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      50.238ms         0.35%      50.238ms     174.437us           0 b           0 b           0 b           0 b           288
                                 CausalConv1dFnBackward         0.06%      10.710ms         0.17%      27.846ms      96.688us      49.466ms         0.35%      52.739ms     183.120us           0 b           0 b      20.25 Mb     -10.12 Gb           288
void causal_conv1d_channellast_bwd_kernel<Causal_con...         0.00%       0.000us         0.00%       0.000us       0.000us      49.466ms         0.35%      49.466ms     171.757us           0 b           0 b           0 b           0 b           288
                                         CausalConv1dFn         0.15%      25.804ms         0.22%      36.532ms      63.423us      49.241ms         0.35%      49.241ms      85.488us           0 b           0 b      20.25 Gb           0 b           576
void causal_conv1d_channellast_fwd_kernel<Causal_con...         0.00%       0.000us         0.00%       0.000us       0.000us      49.241ms         0.35%      49.241ms      85.488us           0 b           0 b           0 b           0 b           576
                                      l2norm_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      46.395ms         0.33%      46.395ms      26.849us           0 b           0 b           0 b           0 b          1728
                             prepare_wy_repr_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      46.230ms         0.33%      46.230ms     160.522us           0 b           0 b           0 b           0 b           288
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      43.485ms         0.31%      43.485ms      20.473us           0 b           0 b           0 b           0 b          2124
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.842ms         0.29%      40.842ms      70.906us           0 b           0 b           0 b           0 b           576
                                    aten::_foreach_mul_         0.00%     608.594us         0.01%       1.998ms     332.944us      39.408ms         0.28%      39.519ms       6.586ms           0 b           0 b           0 b           0 b             6
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      39.408ms         0.28%      39.408ms     268.083us           0 b           0 b           0 b           0 b           147
                                            aten::fill_         0.07%      12.187ms         0.38%      64.374ms      27.940us      38.492ms         0.27%      38.492ms      16.706us           0 b           0 b           0 b           0 b          2304
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      34.530ms         0.24%      34.530ms       2.877ms           0 b           0 b           0 b           0 b            12
                       aten::_log_softmax_backward_data         0.00%     359.597us         0.00%     567.242us      47.270us      33.804ms         0.24%      33.804ms       2.817ms           0 b           0 b       6.00 Gb       6.00 Gb            12
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      33.804ms         0.24%      33.804ms       2.817ms           0 b           0 b           0 b           0 b            12
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us      33.197ms         0.23%      33.197ms      57.634us           0 b           0 b           0 b           0 b           576
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      30.721ms         0.22%      30.721ms       2.560ms           0 b           0 b           0 b           0 b            12
                                      l2norm_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      28.026ms         0.20%      28.026ms      48.655us           0 b           0 b           0 b           0 b           576
                         LayerNormGatedFunctionBackward         0.43%      72.392ms         0.61%     102.644ms     356.403us      27.325ms         0.19%      35.237ms     122.352us           0 b           0 b     -71.86 Mb      -6.84 Gb           288
                            layer_norm_gated_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.325ms         0.19%      27.325ms      94.877us           0 b           0 b           0 b           0 b           288
                                              aten::div         0.09%      15.600ms         0.18%      29.563ms      29.241us      26.037ms         0.18%      26.037ms      25.754us           0 b           0 b      21.09 Gb      21.09 Gb          1011
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.986ms         0.18%      25.986ms      26.734us           0 b           0 b           0 b           0 b           972
                                             aten::mean         0.20%      33.448ms         0.31%      51.544ms      26.679us      25.845ms         0.18%      25.845ms      13.377us           0 b           0 b      84.19 Mb      84.19 Mb          1932
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      25.845ms         0.18%      25.845ms      13.377us           0 b           0 b           0 b           0 b          1932
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.408ms         0.17%      24.408ms       6.312us           0 b           0 b           0 b           0 b          3867
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      23.326ms         0.16%      23.326ms      20.248us           0 b           0 b           0 b           0 b          1152
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.985ms         0.16%      21.985ms      11.450us           0 b           0 b           0 b           0 b          1920
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      21.927ms         0.15%      21.927ms      22.559us           0 b           0 b           0 b           0 b           972
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      21.287ms         0.15%      21.287ms       7.067us           0 b           0 b           0 b           0 b          3012
                                             aten::silu         0.10%      17.461ms         0.15%      24.952ms      32.489us      21.184ms         0.15%      21.184ms      27.584us           0 b           0 b      24.00 Gb      24.00 Gb           768
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.184ms         0.15%      21.184ms      27.584us           0 b           0 b           0 b           0 b           768
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      20.297ms         0.14%      20.297ms      52.856us           0 b           0 b           0 b           0 b           384
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.053ms         0.14%      20.053ms      18.568us           0 b           0 b           0 b           0 b          1080
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 16.796s
Self CUDA time total: 14.171s
